"feature","coefficient"
"engine153.0HP 2.3L 4 Cylinder Engine Gasoline Fuel",-5557.87931294304
"engine201.0HP 2.5L Flat 6 Cylinder Engine Gasoline Fuel",-5557.08606206422
"engine232.0HP 1.3L Rotary engine Gasoline Fuel",-5550.0978189119
"modelRX-8 Grand Touring",-5550.07487102256
"ext_col.Magnetite Black Metallic",5523.84681686864
"modelAMG S 63 Base 4MATIC",5523.17136449541
"model850 Turbo",-5521.10988084623
"modelC-Class C280 4MATIC",-5518.19447959111
"modelR-Class R 350 4MATIC",-5510.0123800745
"engine104.0HP 1.6L 4 Cylinder Engine Gasoline Fuel",-5507.26492736594
"modelAccent GL",-5507.19507437087
"modelQuattroporte S",-5500.31056460995
"engine425.0HP 4.7L 8 Cylinder Engine Gasoline Fuel",-5500.11932084529
"modelRover Discovery Sport HSE",-5495.7687419843
"ext_col.Indus Silver",-5495.42056773053
"modelLevante S",-5489.44982232336
"modelCLS-Class CLS 550",5488.57967330452
"modelJuke SV",-5469.78354383015
"modelSebring LX",-5466.36010286273
"engine638.0HP 6.2L 8 Cylinder Engine Gasoline Fuel",5462.49397392478
"modelCorvette ZR-1",5462.41564402507
"modelAviator Luxury",-5458.92028757372
"modelSierra 1500 Denali Ultimate",5457.81606211204
"model1500 TRX",5431.17534168395
"modelPickup Truck XE",-5430.26777679848
"modelRL Technology",-5401.83801054472
"engine109.0HP 1.5L 4 Cylinder Engine Gasoline Fuel",-5392.15959715464
"modelFit Sport",-5391.99372375707
"engine395.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid",5388.71130548859
"engine437.0HP 3.4L V6 Cylinder Engine Gas/Electric Hybrid",5388.228244261
"modelSentra SR",-5384.3797238839
"engine1.8 Liter",-5384.33921606687
"modelC-Class C 250 Luxury",-5382.10879841043
"engine600.0HP 4.4L 8 Cylinder Engine Gasoline Fuel",5376.69401472164
"int_col.Sakhir Orange",5369.60029673486
"modelATS 2.0L Turbo Luxury",-5369.58425412212
"ext_col.Blue Metallic",5369.38096932202
"model911 Carrera S",5368.93057684196
"engine78.0HP 1.2L 3 Cylinder Engine Gasoline Fuel",-5366.36888669185
"modelMirage ES",-5366.34920814378
"engine156.0HP 2.3L 4 Cylinder Engine Gasoline Fuel",-5362.14692129392
"modelDart SE",-5342.98835753813
"modelPacifica Touring",-5338.84411669246
"modelProMaster 2500 Window Van High Roof",5334.027386875
"engine169.0HP 2.4L 4 Cylinder Engine Gasoline Fuel",-5326.70268841261
"modelMalibu 1LT",-5326.62455117278
"engine670.0HP Electric Motor Electric Fuel System",5319.48340670058
"engine122.0HP 1.8L 4 Cylinder Engine Gasoline Fuel",-5317.53992960341
"engine266.0HP 4.0L V6 Cylinder Engine Gasoline Fuel",-5311.9071521101
"modelPathfinder Silver",-5311.77142163253
"modelS80 3.2",-5301.03531065795
"engine503.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel",5298.17869513477
"modele-Golf SE",-5294.91888715955
"engine115.0HP Electric Motor Electric Fuel System",-5294.78371025688
"modelCLK-Class 500 Cabriolet",-5283.92142974806
"modelCorvette Stingray w/2LT",5282.2839862057
"engine475.0HP 6.7L 8 Cylinder Engine Diesel Fuel",5275.9940839192
"modelAvalon Limited",-5267.08384030852
"engine180.0HP 3.4L V6 Cylinder Engine Gasoline Fuel",-5266.00403458241
"modelImpala Base",-5265.97018757731
"modelMatrix XRS",-5261.21627516344
"engine620.0HP Electric Motor Electric Fuel System",5254.67971289625
"modelAir Pure",5254.30914570353
"modelAMG GT 53 Base",5253.0455853549
"modelQX80 SENSORY",5243.04323886698
"modelLancer Sportback ES",-5240.75842199521
"modelQX56 Base",-5240.2928325036
"modelMazda3 i Sport",-5237.35874491064
"modelGenesis Coupe 2.0T",-5224.02941417701
"engine552.0HP 6.0L 12 Cylinder Engine Flex Fuel Capability",5217.07074202205
"ext_col.Volcano Grey Metallic",-5215.24050130982
"modelZ4 3.0i Roadster",-5212.53640628457
"engine215.0HP 3.2L V6 Cylinder Engine Gasoline Fuel",-5208.67109347618
"engine5.0L V8 32V GDI DOHC Supercharged",5187.33372331337
"modelRover Range Rover P525 Westminster",5187.0846250209
"engine1.5L I3 12V GDI DOHC Turbo",-5185.82647787599
"modelCorolla S Plus",-5171.78886890031
"modelForester 2.5 X",-5171.2603374174
"modelGL-Class GL 550",-5168.54221329163
"engine440.0HP 3.5L V6 Cylinder Engine Gasoline Fuel",5153.15460426819
"engine245.0HP 3.5L V6 Cylinder Engine Gasoline Fuel",-5149.48677902412
"engine290.0HP 3.8L V6 Cylinder Engine Gasoline Fuel",-5137.32735230026
"modelTaycan Base",5129.62809301317
"modelPathfinder SV",-5125.42534782491
"engine132.0HP 1.8L 4 Cylinder Engine Gasoline Fuel",-5105.75219813989
"modelES 330 Base",-5104.26013837422
"engine5L V-8 gasoline direct injection, DOHC, variable valve control,",-5094.20789486358
"transmission.Auto, 6-Spd w/CmdShft",-5094.05476919329
"modelForte LX",-5093.34657726867
"engine2L I-4 DOHC, D-CVVT variable valve control, engine with 147HP",-5093.28209356304
"ext_col.Silky Silver",-5092.69856666021
"ext_col.Ember Pearlcoat",5091.12257894328
"modelGrand Wagoneer Base",5090.72686703596
"engine186.0HP 2.0L 4 Cylinder Engine Gasoline Fuel",-5083.48693116165
"modelC70 T5",-5081.85138920677
"engine182.0HP 2.4L 4 Cylinder Engine Gasoline Fuel",-5081.75656093609
"modelMazda6 iSport VE",-5080.97771899511
"modelGolf Auto TSI S",-5051.14992613442
"modelGhibli S Q4 GranSport",-5050.02003172993
