"feature","coefficient"
"modelSorento Hybrid EX",-1437.24021130511
"engine227.0HP 1.6L 4 Cylinder Engine Gas/Electric Hybrid",-1437.121124946
"modelH2 SUT",-1434.03015857905
"modelAMG C 43 AMG C 43 4MATIC",-1433.37667176534
"modelF-350 Lariat Super Duty Crew Cab",-1432.18267953353
"engine250.0HP 7.3L 8 Cylinder Engine Diesel Fuel",-1430.70147491353
"modelM4 Base",1429.79806111503
"ext_col.Silver",-1426.43573299618
"engine4.0L V6 24V MPFI DOHC",-1426.1019891455
"modelTacoma SR5",-1422.34415364939
"engine310.0HP 3.5L V6 Cylinder Engine Gasoline Fuel",-1420.7781870532
"transmission_grp.Automatic",1419.72083566453
"transmission.Automatic",1419.38433716023
"engine400.0HP 3.5L V6 Cylinder Engine Gasoline Fuel",1418.680495994
"brandGenesis",-1414.08512491445
"modelG70 3.3T",-1411.28681992216
"ext_col.Bright White Clearcoat",-1407.66979919738
"modelQ7 45 Premium Plus",-1406.85473131311
"modelQ4 e-tron Sportback Premium",1404.88449889095
"modelAMG C 43 Base 4MATIC",-1402.9809396507
"engine261.0HP 2.0L 4 Cylinder Engine Gasoline/Mild Electric Hybrid",-1398.89761540721
"engine270.0HP 2.0L 4 Cylinder Engine Gasoline Fuel",1397.91754117026
"modelWrangler Unlimited 4xe Sahara",-1396.14985735842
"engine2.0L I4 16V GDI DOHC Turbo Hybrid",-1396.02723497648
"engine411.0HP 6.2L 8 Cylinder Engine Gasoline Fuel",-1395.25044574175
"modelCharger Scat Pack",-1388.36362288892
"modelImpreza WRX STI",-1384.56541681298
"engine495.0HP 5.0L 8 Cylinder Engine Gasoline Fuel",-1382.71480592366
"modelChallenger R/T Scat Pack",-1379.08173336344
"modelGX 460 Luxury",1378.81131236289
"int_col.Slate",-1378.6484444142
"int_col.Mountain Brown",-1374.78819088107
"model4Runner TRD Off Road",-1366.42221304463
"modelCX-9 Carbon Edition",-1364.83867568215
"modelX4 M Competition",1359.60930307115
"engine485.0HP 6.4L 8 Cylinder Engine Gasoline Fuel",-1351.8816853614
"modelEnclave Avenir",-1347.67807617589
"transmission.1-Speed Automatic",-1345.59804593807
"engine305.0HP 2.5L 4 Cylinder Engine Gasoline Fuel",-1344.74319007491
"engine2.4L H4 16V GDI DOHC Turbo",-1343.00568027017
"modelF-TYPE S",-1342.33460292363
"model540 i xDrive",-1341.41035614462
"model1500 Sport",-1332.49781510999
"engine325.0HP 3.6L Flat 6 Cylinder Engine Gasoline Fuel",-1331.47210169109
"int_col.Rioja Red",1329.99335468126
"modelTitan SV",-1328.20118146688
"modelGrand Cherokee L Laredo",-1327.42286746882
"modelG70 2.0T",-1326.98537911638
"engine3.5L V6 24V GDI DOHC Twin Turbo",-1319.79420736519
"ext_col.Iconic Silver Metallic",1317.51481586154
"modelMacan",-1316.69524615885
"modelM3 Base",-1316.41113775358
"modelDurango R/T",-1315.19241701074
"modelF-PACE SVR",1313.5519213872
"engine5.6 Liter",-1313.26016265478
"modelE350 Super Duty XLT",-1309.83534544646
"ext_col.Diamond Black",-1309.56449025787
"model1500 Laramie",-1304.4705853998
"modelTLX w/A-Spec Package",-1302.18443307561
"ext_col.Jet Black Mica",-1302.09973973546
"engine505.0HP 2.9L V6 Cylinder Engine Gasoline Fuel",1299.87829190957
"modelMaverick Lariat",-1296.93599901397
"transmission.Transmission w/Dual Shift Mode",1294.98758385851
"transmission_grp.Transmission w/Dual Shift Mode",1294.94531749674
"modelSuburban LTZ",-1294.91552991012
"modelCorsair Standard",-1294.50148747013
"engine278.0HP 3.5L V6 Cylinder Engine Gasoline Fuel",-1293.27299471337
"modelTacoma SR",-1293.20335795966
"engine295.0HP 3.4L Flat 6 Cylinder Engine Gasoline Fuel",-1292.74092345038
"modelX3 M40i",-1287.92975018945
"engine291.0HP 2.0L 4 Cylinder Engine Gasoline Fuel",-1283.37470755933
"modelLancer Evolution GSR",-1283.24035635061
"ext_col.Wind Chill Pearl",-1280.27684153982
"engine480.0HP Electric Motor Electric Fuel System",1275.88121853632
"engine280.0HP 3.6L V6 Cylinder Engine Gasoline Fuel",-1274.05114896932
"modelCamaro 1SS",-1269.84404081397
"engine395.0HP 5.7L 8 Cylinder Engine Gasoline Fuel",-1267.73723699757
"model4Runner Limited",-1266.11336599826
"engine475.0HP 6.4L 8 Cylinder Engine Gasoline Fuel",1265.7788934265
"brandAudi",-1258.92917948865
"engine345.0HP 3.6L Flat 6 Cylinder Engine Gasoline Fuel",-1256.73474720833
"engine3.4L V6 24V PDI DOHC Twin Turbo",-1254.2786421293
"engine266.0HP Electric Motor Electric Fuel System",-1254.16855166818
"modelS7 4.0T Premium Plus",-1254.13085824191
"engine275.0HP 2.7L Flat 6 Cylinder Engine Gasoline Fuel",-1254.07115793832
"brandLand",1251.9325721579
"modelCamaro 2SS",-1251.37055499315
"modelTundra SR",1248.25446398753
"modelGLE 350 Base 4MATIC",1246.57268178068
"modelSilverado 1500 Custom Trail Boss",-1245.06622730304
"modelS5 3.0T Prestige",-1244.98944604732
"modelTraverse RS",-1242.78628953977
"modelX6 sDrive35i",-1242.21931903368
"brandLotus",1239.60269781325
"ext_col.Ebony Twilight Metallic",-1238.29916188191
"modelXC90 Hybrid T8 R-Design",-1234.05561148043
"engine285.0HP 3.6L V6 Cylinder Engine Gasoline Fuel",-1231.61152868717
"ext_col.Star White",-1230.10351865022
"ext_col.Beige",-1228.68810880948
"modelEvora Base",1221.98866793217
"engine402.0HP Electric Motor Electric Fuel System",1220.07373176875
"modelC40 Recharge Pure Electric Twin Ultimate",1219.83681825625
"modelHighlander Platinum",-1219.10642313669
"brandFord",-1217.05354159945
"modelTacoma Double Cab",-1213.6191652415
"modelProMaster 2500 High Roof",-1209.3405258689
"engine500.0HP 5.4L 8 Cylinder Engine Gasoline Fuel",-1206.21225849383
"modelGLS 550 Base 4MATIC",-1202.60240547791
"engine3.8L V6 24V GDI DOHC",-1202.50452755379
"engine4.7 Liter Twin Turbo",-1202.39383914802
"modelF-250 XL",-1195.74971707309
"modelMustang Mach-E Premium",-1194.12360058355
"modelM240 i xDrive",1181.25676036519
"modelS-Class S 450",-1176.91171100247
"engine450.0HP 3.5L V6 Cylinder Engine Gasoline Fuel",1172.87836024349
"ext_col.Nebula Gray Pearl",-1169.27431300653
"engine469.0HP 4.0L 8 Cylinder Engine Gasoline Fuel",1165.78487493727
"modelSupra 3.0 Premium",1163.58179159799
"modelSorento Plug-In Hybrid SX",-1161.99776875835
"engine1.6L I4 16V GDI DOHC Turbo Hybrid",-1161.81778018118
"ext_col.Aurora Black",-1161.65722991822
"modelAtlas 3.6L SEL Premium",-1156.44253549881
"engine360.0HP 4.6L 8 Cylinder Engine Gasoline Fuel",-1152.30883055886
"ext_col.Obsidian Black Metallic",1145.72973201381
"modelModel S 90D",-1141.95377676789
"ext_col.Eiger Grey Metallic",-1141.78907822902
"engine417.0HP Electric Motor Electric Fuel System",-1141.65801931615
"int_col.Ebony/Light Oyster Stitch",-1141.54108945608
"engine346.0HP Electric Motor Electric Fuel System",-1132.88988310106
"clean_title.Yes",-1124.63520719724
"clean_title.Unknown",1124.6232327668
"modelNavigator L Reserve",1124.57863763635
"engine2.0L I4 16V GDI DOHC Hybrid",1124.45630908834
"modelLX 570 Base",1121.90128043662
"modelSilverado 2500 WT",-1120.07818132128
"modelSilverado 1500 1LT",-1118.45889725434
"transmission.SCHEDULED FOR OR IN PRODUCTION",1115.32790706222
"modelA7 3.0T Premium",-1109.07854666442
"modelQ8 3.0T Premium",-1107.02232648042
"engine540.0HP 5.4L 8 Cylinder Engine Gasoline Fuel",-1106.00975361433
"modelTelluride SX",-1104.15333459862
"engine221.0HP 2.0L 4 Cylinder Engine Gasoline Fuel",-1100.61887976964
"modelTundra SR5",-1098.22432817179
"engine341.0HP 6.0L 8 Cylinder Engine Flex Fuel Capability",-1095.06887573528
"ext_col.Caviar",-1093.36832989476
"ext_col.Blue",-1090.66161045977
"modelS6 4.0T Premium Plus",1082.72254045229
"modelPalisade Calligraphy",1080.36002150153
"modelTelluride EX",-1079.5931435574
"int_col.–",1079.50586579404
"modelArmada SL",-1077.10218648669
"modelPassport Elite",-1076.72955079276
"int_col.Dark Ash",-1075.87206445575
"engine6.0L V8 16V MPFI OHV Flexible Fuel",-1075.84499372737
"modelGladiator Sport S",-1075.03310550964
"modelS8 4.0T Plus",1068.52431436864
"modelExpedition Max XLT",-1067.03957306246
"modelGX 460 Base",-1066.45524100735
"modelTransit-250 Base",-1065.35809848143
"modelElise Base",-1058.69929120828
"engine190.0HP 1.8L 4 Cylinder Engine Gasoline Fuel",-1058.5953393899
"int_col.Diesel Gray / Black",-1048.89824083334
"modelXC60 Recharge Plug-In Hybrid T8 Inscription",1044.9397445254
"engine390.0HP 6.0L 8 Cylinder Engine Gasoline Fuel",1043.77086681145
"modelTrailblazer SS",1043.66427325372
"engine180.0HP 6.5L 8 Cylinder Engine Diesel Fuel",-1043.09926487884
"modelTahoe Base",-1042.80327584133
"ext_col.Matador Red Metallic",1041.82832258303
"modelExcursion Limited 4WD",-1041.61568760673
"modelSQ7 4.0T",1040.87740076049
"ext_col.Mineral White",1040.68772137483
"engine4.0 Liter",-1031.83158070972
"modelIS 350 F Sport",-1031.32369939112
"modelSilverado 2500 LTZ",-1030.75104571918
"engine335.0HP 3.0L V6 Cylinder Engine Gasoline Fuel",-1030.41134652618
"modelBronco Base",-1026.69173087455
"modelSilverado 2500 LT",-1025.35180495913
"engine425.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel",1023.45157846481
"engine450.0HP 4.0L 8 Cylinder Engine Gasoline Fuel",-1021.39419741146
"brandMercedes-Benz",1019.9079494354
"int_col.Ceramic",1016.3321466309
"modelMacan GTS",1012.67414491109
"int_col.Tupelo",1010.82057511956
"int_col.Rock Gray",-1010.69359480549
"transmission.2",-1009.98094779252
"modelGrand Cherokee L Summit",1009.97272000999
"fuel_type.Diesel",1009.66865394143
"fuel_grp.Diesel",1009.52857187176
"modelH2 Base",-1007.72883183521
"ext_col.Orange",1006.90131611247
"modelTLX PMC Edition",-1001.01881561032
"engine382.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid",996.812158264664
"engine300.0HP 2.5L 4 Cylinder Engine Gasoline Fuel",-992.951528921624
"brandLexus",-991.065743970272
"ext_col.Satin Steel Metallic",-990.315570109413
"engine473.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel",989.389459621116
"modelX3 M AWD",989.290555321055
"engine285.0HP 4.8L 8 Cylinder Engine Gasoline Fuel",-987.750099730457
"modelCX-9 Grand Touring",-978.640349880701
"engine2.7L V6 24V GDI DOHC Twin Turbo",-978.017224255867
"ext_col.Silver Radiance",-977.567603794517
"modelF-150 Limited",-972.385420531296
"engine455.0HP 6.2L 8 Cylinder Engine Gasoline Fuel",-971.550405307444
"modelAscent Limited 7-Passenger",-970.21554646319
"engine300.0HP 2.0L 4 Cylinder Engine Gasoline Fuel",966.752877956985
"model718 Boxster Base",966.581216016886
"modelNV Passenger NV3500 HD SV V8",-965.466509372233
"modelQ7 55 Prestige",-964.988627867343
"brandDodge",-964.581979143582
"engine385.0HP 6.7L Straight 6 Cylinder Engine Diesel Fuel",962.430601712417
"modelPalisade SEL",-957.885666270703
"ext_col.Moonlight Cloud",-957.523915323575
"modelSilverado 1500 Limited High Country",955.795204339555
"modelGrand Cherokee L Overland",952.802459503415
"brandBMW",-952.410055573389
"ext_col.Silver Zynith",-940.645599050684
"engine270.0HP 4.0L V6 Cylinder Engine Gasoline Fuel",-939.320398064575
"modelCayman S",-933.044054571017
"modelSierra 1500 SLT",-916.631057589542
"transmission.10-Speed Automatic",914.677952446608
"int_col.Beige",-913.103855425122
"engine375.0HP 3.5L V6 Cylinder Engine Gasoline Fuel",-910.638408497876
"modelF-350 Lariat",905.78087103773
"modelA6 45 Premium Plus",-904.125825829501
"engine248.0HP 2.0L 4 Cylinder Engine Gasoline/Mild Electric Hybrid",-904.00321527345
"ext_col.Brown",-903.880630245298
"modelSprinter High Roof",-899.43629286989
"engine342.0HP 6.0L 8 Cylinder Engine Flex Fuel Capability",895.642320564807
"engine403.0HP 2.0L Electric Motor Electric Fuel System",895.477167647024
"modelRevero Base",895.159369663949
"brandKarma",895.145808463603
"modelSilverado 1500 RST",890.978468754629
"modelGX 460 Premium",889.107106112182
"modelSilverado 1500 Limited LT Trail Boss",885.582773543952
"modelExpedition King Ranch",877.301993650583
"modelWrangler Unlimited Freedom Edition",-876.278255034543
"engine211.0HP 2.0L 4 Cylinder Engine Diesel Fuel",874.984558967293
"transmission_grp.Other/Unknown",869.631403428071
"ext_col.Tungsten Metallic",-867.922271874997
"engine350.0HP 6.7L Straight 6 Cylinder Engine Diesel Fuel",-867.482197518312
"engine260.0HP 3.0L V6 Cylinder Engine Diesel Fuel",-863.153703376292
"model430 430i",-858.709558915252
"int_col.Sarder Brown",855.66611758531
"engine4.0 Liter Turbo",854.824373457591
"modelA8 4.0",854.509428423136
"engine318.0HP 3.3L V6 Cylinder Engine Gas/Electric Hybrid",-852.018375896027
"engine188.0HP 3.0L V6 Cylinder Engine Diesel Fuel",849.446111902696
"ext_col.Chronos Gray Metallic",846.861320799976
"transmission.Automatic, 7-Spd S tronic Dual-Clutch",846.675054178942
"engine3L V-6 gasoline direct injection, DOHC, variable valve control,",846.432538350239
"modelA6 55 Premium Plus",846.219150882714
"int_col.Ebony",-844.904831933341
"modelRomeo Stelvio Quadrifoglio",844.552934933528
"modelTahoe LT",-843.94007871801
"engine440.0HP 4.8L 8 Cylinder Engine Gasoline Fuel",842.638490308842
"modelPanamera GTS",842.47709504171
"modelChallenger SRT 392",-841.532514645915
"modelTundra Limited",-840.781671848581
"brandChevrolet",-834.478967459819
"ext_col.Dark Ash Metallic",833.418735707448
"modelS60 Recharge Plug-In Hybrid T8 Inscription",-833.357876119171
"modelRover Range Rover Velar P250 SE R-Dynamic",-833.019668010468
"modelALPINA B7 Base",-826.652909263534
"ext_col.Midnight Black",-824.63427602856
"ext_col.Ice Silver Metallic",-823.120217764062
"modelHighlander Hybrid XLE",-818.710147422579
"ext_col.Shadow Gray Metallic",-817.690904956433
"modelF-PACE S",-815.152174136037
"modelProMaster 3500 High Roof",-814.821409229512
"modelA5 45 S line Premium Plus",-809.479410610172
"modelM550 i xDrive",-807.841488487466
"modelEV6 GT-Line",-807.059571050135
"engine320.0HP Electric Motor Electric Fuel System",-806.805559324683
"modelMDX w/Advance Package",806.435370517518
"modelLand Cruiser Base",800.722567856248
"engine306.0HP 3.5L V6 Cylinder Engine Gas/Electric Hybrid",-798.126037132289
"modelRover Range Rover Sport HST MHEV",791.054667981663
"engine355.0HP 5.3L 8 Cylinder Engine Flex Fuel Capability",-790.891470082776
"engine308.0HP 3.5L V6 Cylinder Engine Gas/Electric Hybrid",789.358104277247
"modelTundra 1794",788.367827720283
"ext_col.Alpine White",787.707289451495
"modelCorvette Grand Sport",-784.766169884565
"engine291.0HP 3.8L V6 Cylinder Engine Gasoline Fuel",-782.434538207433
"modelSierra 2500 SLE",-781.111724527431
"engine200.0HP 4.3L V6 Cylinder Engine Gasoline Fuel",-780.427858439943
"modelModel Y Long Range",-776.734023706265
"modelA7 Premium Plus",-770.651928139563
"modelNautilus Reserve",-770.159567069793
"modelAMG C 63 Base",770.152464332954
"ext_col.Typhoon Gray",-769.711845988242
"modelWrangler Unlimited Sport S",-754.073506717334
"ext_col.Mythos Black",-750.423493665615
"engine3.0L V6 24V GDI DOHC Turbo",-747.306244972111
"modelX3 sDrive30i",-747.034357192142
"model1500 Rebel",-744.106525985664
"engine6.6L V8 16V GDI OHV",742.319201414871
"modelRX 450h F Sport",-741.803580397406
"engine3.5L V6 24V PDI DOHC Hybrid",-741.68052874078
"modelTacoma TRD Pro",-740.077159499093
"transmission.6-Speed",-739.999555864437
"ext_col.Super White",-739.851727516134
"engine6.4 Liter",739.419283248959
"modelA7 3.0T Premium Plus",-736.923819893027
"modelA7 55 Premium",728.723737363383
"engine266.0HP 2.5L 4 Cylinder Engine Plug-In Electric/Gas",727.48312932786
"modelCorsair Grand Touring",727.470667357142
"model2500 Big Horn",-726.784730065142
"engine536.0HP 5.5L 8 Cylinder Engine Gasoline Fuel",726.694028845553
"int_col.Jet Black",-723.583114613362
"brandGMC",-723.473248632236
"model1500 Limited",717.611648446531
"engine3.5L 24V SOHC I-VTEC V6",-717.521407861558
"modelPanamera Turbo",714.967498443832
"modelIS-F Base",-714.197083793938
"engine416.0HP 5.0L 8 Cylinder Engine Gasoline Fuel",-714.16001536733
"modelX4 xDrive30i",705.624020853654
"modelNavigator Premiere",705.333541345478
"modelCorvette Stingray",703.42218571772
"modelF-150 Platinum",-701.593806296863
"engine3.5L V6 24V PDI DOHC Twin Turbo",697.192541410915
"engine550.0HP 5.4L 8 Cylinder Engine Gasoline Fuel",697.012717577406
"engine5.7L V8 16V MPFI OHV",-692.723258808713
"ext_col.Dark Moss",-691.075002145782
"modelGLS 450 Base 4MATIC",-687.231963209461
"modelM5 Base",684.691593512275
"engine4.6L V8 32V MPFI DOHC",684.107144127537
"modelPanamera Edition",-677.886376055069
"engine355.0HP 3.0L V6 Cylinder Engine Gasoline Fuel",674.971123818511
"engine451.0HP 6.2L 8 Cylinder Engine Gasoline Fuel",-673.083409580958
"ext_col.Black",-661.480851061182
"modelAMG GLE 43 Coupe 4MATIC",-660.42113427886
"modelCayenne AWD",659.562778427145
"engine400.0HP 5.6L 8 Cylinder Engine Gasoline Fuel",-656.278412715287
"ext_col.Agate Black Metallic",-656.145439185844
"engine6.4L V8 16V MPFI OHV",654.916237027374
"engine3.0L I6 24V GDI DOHC Turbo",-651.388067789335
"ext_col.Navarra Blue",-647.767691466696
"int_col.Saiga Beige",-647.504913064441
"modelS5 3.0T Premium",646.694964776978
"modelSportage Plug-In Hybrid X-Line",-646.652600415754
"engine177.0HP 1.6L 4 Cylinder Engine Plug-In Electric/Gas",-646.586466531026
"modelRDX w/A-Spec Package",-640.113323093182
"modelF-TYPE",-635.629178404494
"engine2.0 Liter Supercharged",-635.525699357697
"model4Runner SR5 Premium",-634.822097384228
"engine444.0HP 5.0L 8 Cylinder Engine Gasoline Fuel",633.356456171463
"modelMustang Boss 302",633.318798606991
"modelCharger R/T Scat Pack",-632.036609906681
"modelMDX Sport Hybrid 3.0L w/Technology Package",-626.287317782602
"engine321.0HP 3.0L V6 Cylinder Engine Gas/Electric Hybrid",-626.123321818878
"modelImpreza WRX Sti Special Edition",-622.257001219978
"modelModel Y Performance",-622.254728987739
"modelPilot Black Edition",-621.316242999382
"engine295.0HP Electric Motor Electric Fuel System",620.119206036412
"engine355.0HP 3.8L Flat 6 Cylinder Engine Gasoline Fuel",-616.710829889492
"modelEscalade ESV Platinum",-614.404477895775
"modelF-150 SVT Raptor",613.984383098507
"int_col.Espresso",612.842810921704
"ext_col.Mythos Black Metallic",-604.874827607913
"modelSL-Class SL63 AMG Roadster",603.821162540472
"engineLAMBDA II 3.8L V-6 gasoline direct injection, DOHC, D-CVVT varia",-591.192097681847
"modelS4 3.0T Premium",-590.781033245559
"fuel_grp.Unknown",589.855130348707
"fuel_type.Unknown",589.640725429786
"engine245.0HP 5.9L Straight 6 Cylinder Engine Diesel Fuel",-585.214993040005
"modelRam 2500 Quad Cab",-584.987453020348
"ext_col.Chronos Gray",-582.353638713151
"transmission.M/T",-580.423597432239
"modelExpedition Limited",579.474827584269
"modelRover Range Rover 5.0L Supercharged Autobiography",579.261987857592
"engine520.0HP 4.8L 8 Cylinder Engine Gasoline Fuel",-578.833482920526
"engine325.0HP 3.4L Flat 6 Cylinder Engine Gasoline Fuel",-572.421967242334
"engine255.0HP 2.0L 4 Cylinder Engine Gasoline Fuel",-568.77527606398
"modelF-350 XL",567.636950666706
"modelAMG GLC 63 Base 4MATIC",-565.189029060066
"modelSuburban LT",-562.874272347861
"transmission.9-Speed A/T",562.542701068556
"int_col.Camel",559.483857265591
"modelM340 i xDrive",557.921065816464
"modelGrecale Modena",-557.390735233477
"engine397.0HP 6.6L 8 Cylinder Engine Diesel Fuel",556.931419605857
"fuel_grp.Hybrid",556.087316700752
"fuel_type.Hybrid",555.965357667809
"modelSQ5 3.0T Prestige",551.940276889828
"int_col.Black w/Red Stitching",551.428149131359
"ext_col.Graphite Grey Metallic",551.178370234221
"modelAMG GLC 43 AMG GLC 43",550.316941099081
"engine306.0HP 2.0L 4 Cylinder Engine Gasoline Fuel",-548.249773359618
"modelCivic Type R Touring",-548.10907817773
"brandCadillac",-542.285920156954
"modelMustang Shelby GT500",-538.809513539171
"engine410.0HP 6.4L 8 Cylinder Engine Gasoline Fuel",-538.013890672176
"modelSuburban Premier",537.877311061408
"ext_col.Magnetic Metallic",-537.122990860484
"modelGLE 350 Base",-536.125092830982
"ext_col.designo Diamond White Bright",-535.332310535142
"int_col.Macchiato/Magmagrey",-535.086353638383
"engine400.0HP 2.0L 4 Cylinder Engine Plug-In Electric/Gas",534.32078617972
"modelRover Range Rover Velar P250 S R-Dynamic",-528.249464343413
"engine550.0HP 5.0L 8 Cylinder Engine Flex Fuel Capability",524.440691899647
"engine425.0HP Electric Motor Electric Fuel System",-522.065492754684
"engine455.0HP Electric Motor Electric Fuel System",-518.878978753459
"modelSL-Class SL 63 AMG",-512.142078641675
"brandRAM",-511.200050415554
"modelGladiator Willys",503.334640095631
"modelMustang Bullitt",497.863752383566
"engine480.0HP 5.0L 8 Cylinder Engine Gasoline Fuel",497.79685659038
"engine260.0HP 4.0L V6 Cylinder Engine Gasoline Fuel",-494.993952867963
"engine6.2L V8 16V MPFI SOHC Flexible Fuel",493.684371153363
"engine330.0HP 3.0L V6 Cylinder Engine Gasoline Fuel",490.934108621495
"modelPanamera Base",490.893192926836
"model1500 Longhorn",489.420831448132
"engine335.0HP 3.0L V6 Cylinder Engine Gasoline/Mild Electric Hybrid",488.414481663168
"engine302.0HP 2.5L 4 Cylinder Engine Plug-In Electric/Gas",486.994560311756
"modelRAV4 Prime XSE",486.922835903701
"engine500.0HP 8.3L 10 Cylinder Engine Gasoline Fuel",-486.284400968912
"engine560.0HP 4.4L 8 Cylinder Engine Gasoline Fuel",486.269611930359
"fuel_grp.–",-485.369364740034
"engine–",-485.361718068206
"fuel_type.–",-485.083507966029
"modelCX-50 2.5 Turbo Premium Package",-481.871440349463
"modelRX 350 F SPORT Appearance",-478.341672956976
"ext_col.Obsidian",-477.700573121003
"modelMartin V8 Vantage Base",-477.115665518601
"modelHighlander Hybrid Limited Platinum",-471.281682265206
"modelTundra TRD Pro",470.035401139943
"ext_col.Antimatter Blue Metallic",469.405735510988
"modelX6 xDrive50i",463.720005300939
"ext_col.Black Sapphire Metallic",-462.979864658141
"int_col.Black",-457.712772827837
"transmission.Automatic, 8-Spd",-457.066195828568
"engine240.0HP 2.5L 4 Cylinder Engine Gas/Electric Hybrid",452.658838651645
"modelNX 350h Premium",452.587498422849
"modelCT5 Premium Luxury",451.036601504257
"int_col.Parchment.",450.99429063114
"transmission.F",450.843698080263
"transmission.8-Speed A/T",449.312081839523
"transmission_grp.8-Speed A/T",449.263576126356
"ext_col.Go Mango!",-447.879271790327
"engine360.0HP 6.0L 8 Cylinder Engine Flex Fuel Capability",-440.929188078464
"modelMustang Mach-E GT",440.158077319079
"engineElectric Motor Electric Fuel System",431.368667891653
"ext_col.Arctic Gray Metallic",-430.009754032577
"ext_col.Velvet Red Pearlcoat",427.51513486462
"modelSierra 2500 Base",425.394920587596
"ext_col.Selenite Gray Metallic",-424.119597725959
"modelModel X P100D",-418.242085931759
"engine3.0 Liter TFSI",416.52221663968
"modelQ7 Premium Plus",416.247823104257
"modelSilverado 1500 LT Trail Boss",-415.417916642165
"engine275.0HP 2.3L 4 Cylinder Engine Gasoline Fuel",410.781147638547
"accident.Unknown",406.085530571276
"modelGrand Caravan R/T",-405.409422496775
"modelModel X 75D",402.943225912091
"engine365.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel",402.056192552093
"engine301.0HP 4.6L 8 Cylinder Engine Gasoline Fuel",-401.125053137255
"modelBoxster Black Edition",-399.607962041992
"engine380.0HP 3.0L V6 Cylinder Engine Gasoline Fuel",397.501262242915
"modelGladiator Rubicon",395.681449080912
"int_col.Blue",392.704960204307
"modelC-Class C 63 AMG",-376.130614211322
"modelExpedition Max Limited",358.289131285707
"engine212.0HP 4.5L Straight 6 Cylinder Engine Gasoline Fuel",-352.529462932913
"model4Runner TRD Pro",342.898842151058
"modelM440 i xDrive",-335.596585261143
"modelGS 350 F Sport",-333.48174267517
"ext_col.Ultra White",-333.307839728116
"modelContinental GT Base",-332.713891395493
"modelS3 2.0T Tech Premium Plus",-319.31002821364
"modelExplorer ST",-312.018479951944
"engine400.0HP 3.0L V6 Cylinder Engine Gasoline Fuel",308.378426641074
"modelXK R",-298.526791810785
"transmission.1-Speed A/T",-297.166029766969
"engine395.0HP 5.0L 8 Cylinder Engine Flex Fuel Capability",-294.436245536324
"modelRS 5 4.2",-292.350843842801
"engine450.0HP 4.2L 8 Cylinder Engine Gasoline Fuel",-292.294779428474
"modelExpress 2500 Work Van",290.895076163369
"brandTesla",-288.691227919389
"fuel_grp.Other/Unknown",-283.59165745451
"modelRX 350 RX 350",282.281239324266
"engine456.0HP 4.4L 8 Cylinder Engine Gasoline Fuel",-281.372720738689
"modelTucson Hybrid SEL Convenience",-279.477179155551
"engine226.0HP 1.6L 4 Cylinder Engine Gas/Electric Hybrid",-279.397499469466
"modelLancer Evolution MR",277.820246757109
"model_year",276.32991440163
"transmission_grp.6-Speed M/T",-275.238386829465
"transmission.6-Speed M/T",-275.155862637254
"modelYukon XL SLT",-261.370566517466
"modelXC90 T6 Inscription",-257.073855758717
"modelSequoia Limited",-256.245231701061
"engine4.4 Liter DOHC Twin Turbo",-251.609577235335
"modelMacan Turbo",-245.38703315187
"engine329.0HP Electric Motor Electric Fuel System",-244.077889430525
"engine5.3 Liter",-239.917496333396
"int_col.Global Black",-238.188631267406
"int_col.Brown",232.421700181824
"engine518.0HP Electric Motor Electric Fuel System",231.234352196296
"engine288.0HP 2.0L 4 Cylinder Engine Plug-In Electric/Gas",229.648147375691
"model530e Base",229.518325462126
"modelF-350 XLT",228.189557328846
"engine316.0HP 6.2L 8 Cylinder Engine Flex Fuel Capability",227.940465391901
"ext_col.Gray",223.81161586166
"int_col.Chestnut",-223.566111316137
"ext_col.Rich Garnet Metallic",-223.492135065801
"modelYukon Denali",219.46726931586
"engine451.0HP 6.3L 8 Cylinder Engine Gasoline Fuel",218.370234660534
"modelS-Class S 560",-215.941537048267
"ext_col.designo Diamond White",-215.234330397055
"modelF-250 XLT",214.255141185545
"modelRover Range Rover 3.0L Supercharged HSE",213.469548489071
"modelRX 450h F SPORT Handling",210.114999547054
"model2500 SLT",-208.724903657834
"modelTelluride EX X-Line",202.926897108986
"engine188.0HP 2.0L 4 Cylinder Engine Gasoline Fuel",-200.917953119849
"engine325.0HP 2.0L 4 Cylinder Engine Gasoline/Mild Electric Hybrid",200.001706527085
"model750 i xDrive",-199.852953224808
"transmission.6 Speed At/Mt",-199.193066595255
"int_col.Black/Gun Metal",-198.981671693246
"modelGV70 3.5T Sport",-195.120761462114
"modelGolf R Base",-191.632184987194
"modelExpedition Platinum",187.932906315101
"int_col.Platinum",179.099261270124
"modelSilverado 1500 2LT",-176.275204918829
"engine285.0HP 3.6L V6 Cylinder Engine Gasoline/Mild Electric Hybrid",-175.354696088423
"modelX5 xDrive40i",-174.352197729253
"modelPanamera 4S",-173.001494279281
"model4Runner TRD Sport",168.893204604994
"modelBronco Heritage Edition Advanced",167.8746612462
"engine440.0HP 6.7L 8 Cylinder Engine Diesel Fuel",165.989433097939
